"study_site","year_m","decade","bioregion","minyear","maxyear","nyears_span","n_years_observed","finite_trend_X2.5.","finite_trend_X50.","finite_trend_X97.5.","IRtrend_X2.5.","IRtrend_X50.","IRtrend_X97.5.","area_change_ha_X2.5.","area_change_ha_X50.","area_change_ha_X97.5.","area_start_X2.5.","area_start_X50.","area_start_X97.5.","IRtrend_error","site_groupings","studyid","site","year","area","log_area","max_area","ten_percent","depth_cat","first_year","last_year","duration","num_points","dom_species","all_species","lh_group2","att_method","apriori_cat","tidied_drivers","measurement_cat","waycott_study","Lat_Zone","ECOREGION","PROVINCE","site_duplication","decade_time_points","max_plus_0.1","mean_Dd_5k","mean_Dh_5k","mean_Ligt_5k","mean_Np_5k","mean_Oa_5k","mean_Ocp_5k","mean_Ship_5k","mean_Slr_5k","mean_Sst_5k","mean_Dd_10k","mean_Dh_10k","mean_Ligt_10k","mean_Np_10k","mean_Oa_10k","mean_Ocp_10k","mean_Ship_10k","mean_Slr_10k","mean_Sst_10k","mean_Dd_20k","mean_Dh_20k","mean_Ligt_20k","mean_Np_20k","mean_Oa_20k","mean_Ocp_20k","mean_Ship_20k","mean_Slr_20k","mean_Sst_20k","mean_Dd_30k","mean_Dh_30k","mean_Ligt_30k","mean_Np_30k","mean_Oa_30k","mean_Ocp_30k","mean_Ship_30k","mean_Slr_30k","mean_Sst_30k","mean_Dd_50k","mean_Dh_50k","mean_Ligt_50k","mean_Np_50k","mean_Oa_50k","mean_Ocp_50k","mean_Ship_50k","mean_Slr_50k","mean_Sst_50k","mean_Dd_100k","mean_Dh_100k","mean_Ligt_100k","mean_Np_100k","mean_Oa_100k","mean_Ocp_100k","mean_Ship_100k","mean_Slr_100k","mean_Sst_100k","mean_Dd_200k","mean_Dh_200k","mean_Ligt_200k","mean_Np_200k","mean_Oa_200k","mean_Ocp_200k","mean_Ship_200k","mean_Slr_200k","mean_Sst_200k","Turbidity.Coefficient.of.Variance_5k","Turbidity.Mean_5k","Turbidity.Coefficient.of.Variance_10k","Turbidity.Mean_10k","Turbidity.Coefficient.of.Variance_20k","Turbidity.Mean_20k","Turbidity.Coefficient.of.Variance_30k","Turbidity.Mean_30k","Turbidity.Coefficient.of.Variance_50k","Turbidity.Mean_50k","Turbidity.Coefficient.of.Variance_100k","Turbidity.Mean_100k","Turbidity.Coefficient.of.Variance_200k","Turbidity.Mean_200k","coords.x1","coords.x2","lh","category","geom"
"R1_Angle",2000,"2000","Temperate Northern Atlantic East",1996,2016,9.99000000000001,3,-0.125158234449077,8.38504562619812,18.4125882948819,-0.001252366258356,0.0805199375588424,0.169004849343764,-0.298722623501877,14.5621514385011,28.411584038128,4.99910360232419,11.7780904803744,29.3639480174154,0.043186036990923,"R1","R1","Angle",1996,5.22,1.747807582,40.68,0.522,"intertidal",1996,2016,20,10,"zostera noltei","zostera noltei","CO","descriptive","decrease","oil spill","ground mapping",0,"Temperate","Celtic Seas","Northern European Seas","no",1,41.202,0.269695309230259,0.00924568881413766,0.00212650663618531,0.00442610755562782,0.00153382715569543,0.0260592068412474,0.44908874801227,0.373343013226986,0.236586924535888,0.287280505233341,0.00927397973007626,0.00213262796470964,0.00443716588671561,0.0015371073063256,0.0261290053250613,0.232787923459653,0.154093584114755,0.206279790346269,0.302405463459345,0.00907929253663043,0.00381127814092068,0.00444603392747097,0.00154903533886559,0.0241873056193037,0.0734340479417945,0.04255962951404,0.107730425029378,0.290714458293385,0.0103114804831531,0.00404653934293869,0.00498169465860672,0.00167972693352659,0.0230787238350721,0.0443979101387238,0.0231171594679767,0.0615522429391671,0.285444040804254,0.0117985372533035,0.00560547415067289,0.0059197971676854,0.00189053342383203,0.019365460039246,0.0182223434975209,0.0101672499624873,0.0428147481462283,0.293026818778505,0.0138603803201695,0.0100215902944868,0.0115499441208143,0.0022556777112431,0.0173810890996134,0.0103826213881094,0.00857564348541573,0.0392576539773879,0.296507322637507,0.018830811255019,0.0119240445379201,0.0111586442393626,0.00287622566080137,0.0190799744223762,0.0155178280676635,0.0168031412298762,0.0826886147934156,0.256743754905004,0.198398685226074,0.257673667086398,0.204642676803119,0.444126012427828,0.228635470776618,0.41853227755253,0.21971036902209,0.408026458771219,0.22725205523683,0.415385959703203,0.177282232526284,0.450059097218374,0.168845821000903,-375257.232497839,6048286.87755785,"O","rapid_increase",c(-375257.232497839, 6048286.87755785)
"R1_Carew",2008,"2000","Temperate Northern Atlantic East",2008,2016,1.99000000000001,2,-7.31645656216173,7.7924397701933,24.9204577485553,-0.075979396103733,0.0750373378473826,0.22250676736962,-0.842367914460479,0.535932673274535,1.47653378473306,1.827816539046,3.54172330883162,6.67407811929186,0.078685560900811,"R1","R1","Carew",2008,3.18,1.189062192,8.07,0.104,"intertidal",2008,2016,8,7,"zostera noltei","zostera noltei","CO","none","decrease",NA,"ground mapping",0,"Temperate","Celtic Seas","Northern European Seas","no",2,8.174,0.274694062769413,0.0092454080004245,0.00212661402266739,0.00442631743914847,0.00153391740085291,0.0260632876306772,0.432486162653991,0.330451373210443,0.227788451526846,0.290438794302491,0.0092660086346591,0.00213105187593204,0.00443416468963121,0.0015361138638519,0.0261169457632416,0.20073634554755,0.131964503143147,0.186246029564045,0.300478061135993,0.00913646090439106,0.00325632842975747,0.00444033174741879,0.00154399927088385,0.0248186225991651,0.0700225101626781,0.0394786753109656,0.0992535031392205,0.287575592641024,0.0106892818530415,0.00371281705186306,0.00511540851363674,0.00171142397658947,0.0232557463104621,0.0393175926179655,0.0220726177842794,0.0598365101462467,0.283862842152217,0.0121006098806794,0.00534626558873292,0.00602671143662979,0.00191272981224051,0.019483795949455,0.0183965258408188,0.0102786086818696,0.0438230945538643,0.292690184353281,0.0138446769873229,0.00992405856795643,0.011770457923772,0.00227227730517133,0.0173941804578349,0.0105662450224137,0.00863150573957106,0.0387213614789955,0.296257255856593,0.018798447020166,0.0118353128531194,0.0111588488562968,0.002877845299298,0.0191264414054546,0.0153650120891805,0.0166071739848799,0.081995396790391,0.233783545020299,0.198309883093223,0.231908234790331,0.201822396640371,0.442106675463863,0.228708927141377,0.425233718429058,0.220038154058147,0.410245259723924,0.228603423707145,0.41883488815303,0.178123719563513,0.450334726261828,0.168155746332069,-374333.625863917,6046451.38568936,"O","rapid_increase",c(-374333.625863917, 6046451.38568936)
"R1_Cosheston",2008,"2000","Temperate Northern Atlantic East",2008,2014,1.99000000000001,2,-0.335744956903786,28.9492433707494,67.973657165276,-0.003363180748097,0.254248677787133,0.518636758407069,-0.004887250788759,0.165760286595059,0.323820792205377,0.106688361578604,0.27274339504916,0.659401966367163,0.134470817300871,"R1","R1","Cosheston",2008,0.24,-1.343234872,1.77,0.021,"intertidal",2008,2014,6,6,"zostera noltei","zostera noltei","CO","none","decrease",NA,"ground mapping",0,"Temperate","Celtic Seas","Northern European Seas","no",2,1.791,0.276623384228774,0.00924597417802683,0.00212679676146113,0.00442663525297706,0.00153398685922314,0.0260674707325441,0.425984811569963,0.295819855760783,0.220063893390553,0.291072407946784,0.00926204307346478,0.00213021223196352,0.00443254293840841,0.00153556240229322,0.0261091173753231,0.194027897345244,0.124829834787252,0.179914531336557,0.29939809613027,0.00914993455626893,0.00313017251354467,0.00443930598031089,0.0015429309225439,0.0249639562654838,0.0682501345784497,0.0384975202470131,0.0965400534090371,0.286858791784927,0.0108085413472857,0.0036682161370554,0.00516300739626927,0.00172262984180246,0.0232229873372529,0.0388429717510176,0.0218443065005814,0.0595905268916178,0.283629305962003,0.0121572180849048,0.00526803421871484,0.00604613737095699,0.00191640761125832,0.0195113468695038,0.0183257850243269,0.0102664306572127,0.0438265708595521,0.2925964888398,0.013846554965876,0.00990127135277776,0.0118242320206984,0.00227781048734347,0.0173978075612684,0.0106396861786377,0.00865480485105201,0.0386918281707366,0.296193401112228,0.0187916757871814,0.011815049378941,0.0111591945881076,0.00287845024549073,0.0191382910014899,0.0153493719944786,0.0165676321994586,0.0818575349441528,0.227963740742484,0.19816514295201,0.239465002950869,0.203164807362863,0.440700346680157,0.228017502082591,0.427889391198184,0.221328260635646,0.411169329144909,0.229489946519957,0.41958633240851,0.178314351595315,0.450429795364435,0.167980226820576,-374118.658511182,6045983.61724968,"O","rapid_increase",c(-374118.658511182, 6045983.61724968)
"R1_Garron.pill",2008,"2000","Temperate Northern Atlantic East",2008,2016,1.99000000000001,2,0.719772695185463,1.83666039953941,2.88094361429789,0.007171945551649,0.0181999750961536,0.02840224611046,0.066655437198282,0.17608893669916,0.336485410837736,3.05323600386976,4.86345746479747,7.90938361607659,0.005405885218722,"R1","R1","Garron pill",2008,4.52,1.591273942,5.59,0.39,"intertidal",2008,2016,8,8,"zostera noltei","zostera noltei","CO","none","decrease",NA,"ground mapping",0,"Temperate","Celtic Seas","Northern European Seas","no",2,5.98,0.270285022981239,0.00924336182122881,0.00212601843910913,0.00442521221879305,0.00153355224227363,0.0260546044305418,0.448007291916645,0.378481886829391,0.235645273869688,0.287731619429414,0.00927373516733629,0.00213258931358909,0.00443709518651675,0.00153708375606305,0.0261289469462677,0.229389559613527,0.152074758323712,0.204947900489299,0.302242207141658,0.00908795400494849,0.00372445394907063,0.00444502616706605,0.00154821041117733,0.0242853969768783,0.0729656176576715,0.0421177919034467,0.106397993260281,0.290025845952313,0.0104119666762263,0.0039762442913668,0.00501334417662134,0.00168826794779518,0.0231222236906975,0.0435023034637411,0.0230506341267334,0.0618156959796699,0.285192567868353,0.0118400484195024,0.00557511946487766,0.00593413468352433,0.00189344438283716,0.019384861218094,0.018232155021097,0.0101888044490459,0.0429432465068615,0.292965928421794,0.0138687419106631,0.0100132265140796,0.0115896388830428,0.00225870563755667,0.0173850072615544,0.0103997706836723,0.00858864958327052,0.0392226153094607,0.296482290479723,0.0188312141307391,0.0119131935577813,0.0111589112749841,0.00287679938514583,0.0190896192278702,0.0155034248160756,0.0167859547668067,0.0826210136230941,0.25352987923004,0.198063399504732,0.258958718973956,0.205112713382398,0.445043248364452,0.228694293911409,0.420333223247711,0.220520101380102,0.408636827640005,0.227875272436144,0.415713474466528,0.17741295508946,0.450109579921839,0.168787415826489,-375074.176542602,6048062.82217525,"O","slow_increase",c(-375074.176542602, 6048062.82217525)
"R1_Hobbs.point",2008,"2000","Temperate Northern Atlantic East",2008,2016,1.99000000000001,2,0.731618689419862,1.84211321211204,2.88126283097622,0.007289551393481,0.0182535183610664,0.02840534922081,0.026371889344231,0.070591112736296,0.142586449081164,1.19307958166496,1.95526366118944,3.16856725063987,0.005407526122322,"R1","R1","Hobbs point",2008,2.09,0.774266232,3.49,0.079,"intertidal",2008,2016,8,7,"zostera noltei","zostera noltei","CO","none","decrease",NA,"ground mapping",0,"Temperate","Celtic Seas","Northern European Seas","no",2,3.569,0.274632874131203,0.00924097746610641,0.00212557264603674,0.00442437557503581,0.00153326402263095,0.0260527445624272,0.444180232286453,0.363841091344754,0.230709644655387,0.29024808276568,0.00926808338760343,0.00213146340163634,0.00443494619049181,0.00153638063606171,0.0261201741580932,0.211371383722255,0.138321764397108,0.191648188065614,0.301289180463011,0.0091244920512492,0.00337451252973441,0.00444165939747384,0.00154510659857117,0.0246849784706578,0.0704749192523234,0.0399533199130162,0.100674270614417,0.28787187316305,0.0106461995383537,0.00376133036002763,0.00509994815102334,0.0017079521977223,0.0232236358561337,0.0398398795770871,0.0222784105614057,0.0603943340309111,0.284171303704181,0.0120407071371125,0.00539569963862231,0.00600460040327577,0.00190824483855992,0.0194583862943698,0.0183992444052995,0.0102691754158569,0.0436853805866962,0.2927584337791,0.0138493996466283,0.00994580876273057,0.0117268140095348,0.00226771798548733,0.0173931216689593,0.0105296964334713,0.00863052282982277,0.0388525480500471,0.296315874692363,0.0188069398289084,0.0118529957291527,0.0111594929826702,0.00287771208393847,0.0191174133098792,0.015410182090061,0.0166558940413157,0.0821584821728277,0.238778165231148,0.19816215791636,0.225965764755622,0.200427892594001,0.44245237725127,0.228670815216937,0.424204929514461,0.220379442067732,0.409647676860951,0.228314054515745,0.417995990466181,0.177878154424219,0.450275678490082,0.168302172528968,-374509.260978404,6046833.56727373,"O","slow_increase",c(-374509.260978404, 6046833.56727373)
"R1_Pembroke.river",2007,"2000","Temperate Northern Atlantic East",2007,2014,2.99000000000001,3,0.714908053686987,1.83450934755043,2.90981174018071,0.007123646346086,0.0181788521568628,0.028682804489593,1.86552980355737,5.0079746737967,9.81869015086956,56.7489141383452,90.9603780906788,143.066013357231,0.00540757961976,"R1","R1","Pembroke river",2007,54.99,4.10246153,99.36,5.499,"intertidal",2007,2014,7,8,"zostera noltei","zostera noltei","CO","descriptive","decrease","oil spill","ground mapping",0,"Temperate","Celtic Seas","Northern European Seas","no",3,104.859,0.277164222865269,0.00924636221265998,0.00212690654082288,0.00442683137953281,0.00153403883350307,0.026069454720308,0.424420503706768,0.286359359735045,0.218095171554335,0.291072407946784,0.00926204307346478,0.00213021223196352,0.00443254293840841,0.00153556240229322,0.0261091173753231,0.194027897345244,0.124829834787252,0.179914531336557,0.299303525449682,0.00915150536926048,0.00311690257802623,0.00443925720063519,0.00154284062967481,0.0249795967854242,0.0681692694900866,0.0384016037882489,0.0963229537294334,0.286783357542681,0.0108209459586854,0.00366630868481315,0.00516810120341469,0.00172384098043149,0.0232158923319664,0.0387680937331843,0.0218106704152369,0.0595646028099115,0.283614031981496,0.01216282135625,0.00526301823205253,0.00604815824727562,0.00191683825379974,0.0195143814190426,0.0183257850243269,0.0102640488834349,0.0438079887619058,0.292596178368841,0.013845307537812,0.00989879758028385,0.0118257562762123,0.00227811554391261,0.0173979829944983,0.0106419495403492,0.00865091361380402,0.0386373514953753,0.296189071460129,0.0187896334355335,0.0118127643301128,0.0111590426512264,0.00287829785674731,0.0191373481804265,0.0153467435873424,0.016564173854295,0.0818373536722337,0.227963740742484,0.19816514295201,0.239465002950869,0.203164807362863,0.440171615422067,0.227914215985627,0.42862392075537,0.221727431442596,0.411242510607906,0.229511550663189,0.419695103713953,0.178323777920333,0.450435275130146,0.167958134569094,-374100.303007876,6045943.67571888,"O","slow_increase",c(-374100.303007876, 6045943.67571888)
"R1_Pwllcrochan.flats",2008,"2000","Temperate Northern Atlantic East",2008,2016,1.99000000000001,1,23.6293455318291,63.9962003985247,120.243142600464,0.212117744780679,0.494672999632638,0.789561927112353,0.118972458091245,0.211007569792604,0.364413119602076,0.042628046425491,0.126711498676365,0.39670282274318,0.146028446801661,"R1","R1","Pwllcrochan flats",2008,0.17,-1.698269126,3.85,0.013,"intertidal",2008,2016,8,6,"zostera noltei","zostera noltei","CO","none","decrease",NA,"ground mapping",0,"Temperate","Celtic Seas","Northern European Seas","no",1,3.863,0.270285022981239,0.00924336182122881,0.00212601843910913,0.00442521221879305,0.00153355224227363,0.0260546044305418,0.448007291916645,0.378481886829391,0.235645273869688,0.288089256706855,0.00927262341188227,0.00213235908308529,0.00443665503705148,0.00153693381660089,0.0261269047347119,0.229031122416901,0.15009214783342,0.203116617132005,0.302139315896924,0.00909327323996313,0.00367686072248178,0.00444471914947438,0.00154783760156593,0.0243406280983419,0.0725146558674511,0.0417952839969669,0.105594131502131,0.289730000205958,0.0104549764323916,0.00395220050757794,0.00503010122425884,0.00169217293803443,0.0231209733535572,0.0432186876437669,0.0229131187774479,0.061587505975195,0.285069356917188,0.0118581417215909,0.00554542822989433,0.00594004153671759,0.00189458936720681,0.019391997370436,0.0182348540817959,0.010193903231349,0.0429988903160802,0.292920636050418,0.0138697232379071,0.0100056007501107,0.0115987545517676,0.00226049341649517,0.0173867415295412,0.0104162792330262,0.00858363818600574,0.0391374086603683,0.296470978096549,0.0188301655816272,0.0119077068750723,0.0111597490735946,0.00287711098472928,0.0190933538283151,0.0154880533822493,0.016766845496331,0.0825751870372234,0.251731924969575,0.198322707209094,0.242882623953719,0.202527420516585,0.44466037471325,0.228623674012459,0.421431924930726,0.220707186564957,0.408862425964238,0.228043900980084,0.416041541654953,0.177485393925274,0.450110728672749,0.168703676574513,-375005.371919141,6047913.10348099,"O","rapid_increase",c(-375005.371919141, 6047913.10348099)
"R1_Sprinkle.Pill",2008,"2000","Temperate Northern Atlantic East",2008,2016,1.99000000000001,2,0.716213088890092,1.84506165484595,2.8937886035056,0.007136602708844,0.0182824690487003,0.028527091544394,0.004789766863193,0.01278760697166,0.025115137533028,0.205564143772741,0.360586691264012,0.593761118345169,0.005426255193657,"R1","R1","Sprinkle Pill",2008,0.16,-1.766091722,0.87,0.011,"intertidal",2008,2016,8,6,"zostera noltei","zostera noltei","CO","none","decrease",NA,"ground mapping",0,"Temperate","Celtic Seas","Northern European Seas","no",2,0.881,0.267295638035084,0.00926369386885701,0.00213037644801983,0.0044332557711108,0.00153611129519112,0.0260948720548687,0.452585602628774,0.423005027503803,0.245909885085862,0.284874840922978,0.00916168531807868,0.00310135579910939,0.0044414015000929,0.00154381460996102,0.0249914241387792,0.28920358289843,0.186028375606174,0.213049713910922,0.304171568808709,0.00900032085660387,0.00458263062789817,0.00445419078615599,0.00155606090896115,0.0233111677126072,0.0797805161300031,0.0465446482216416,0.119009111676724,0.295566541742646,0.00980736530443089,0.00468367568576276,0.00481994439650067,0.0016423068097749,0.0225640161216848,0.0470662428401449,0.0239632915344192,0.0633801739087335,0.287782781818026,0.0114283201313767,0.00600828542291044,0.00578589057086249,0.00186495178250768,0.0192123358266602,0.0180350580871282,0.0100732442130602,0.0417046618530858,0.293494251805071,0.0139175025756876,0.0101660400087199,0.0112529065299767,0.00223832259421811,0.0173624837000324,0.0101045649364689,0.00853727989070167,0.0403497646634681,0.296830375031682,0.0188689442182535,0.0120568941164171,0.0111575547696867,0.00287327976627803,0.0190041790195294,0.0156371538222297,0.0170039874934713,0.0835745568501966,0.275308449159969,0.200204238295555,0.623094738177631,0.266402965654498,0.454803104212048,0.228511723132939,0.408410291279029,0.216628496484754,0.403528589478319,0.224744715156515,0.410494617203915,0.176717625855341,0.449903708674952,0.169827627854698,-376348.021269011,6050834.70521928,"O","slow_increase",c(-376348.021269011, 6050834.70521928)
"T1_Faza",2000,"2000","Tropical Indo Pacific",1986,2016,9.99000000000001,1,-1.30213050843928,-0.155191244924396,1.01868330893147,-0.013106825499513,-0.00155311823082976,0.010135296990215,-1001.88414615296,-108.982266131707,819.531911844436,4217.91549882531,7241.84224921505,12670.9260705166,0.005876736747922,"T1","T1","Faza",1986,8909.786,9.148448479,8909.786,490.059,"mixed",1986,2016,30,3,"none specified",NA,"unspecified","descriptive","none","fishing","satellite",0,"Tropical","Northern Monsoon Current Coast","Western Indian Ocean","no",1,9399.845,0.107397332652049,0.000589831074996089,0.000155687320511788,0.000428835539655252,0.00045599086125466,0.00122372557790103,0.206982911174948,0.0111984772777016,0.100306535715407,0.142190808056885,0.000593288808359184,0.000156563301913773,0.000431503568678096,0.000458791517654821,0.00123131127605116,0.116396998869624,0.0178561039484929,0.161042196667137,0.132658069322186,0.000880592095957429,0.000213357139305604,0.0006107838737983,0.000645674680158295,0.00165418807584494,0.083647332910273,0.0245791627525245,0.228335500486452,0.148200176606136,0.000913032999120438,0.000228841621364562,0.000646306990109276,0.000680546379135433,0.00170808206996795,0.0562856427034524,0.0170116229041868,0.160919526689202,0.170293610873498,0.000926986440903806,0.000232330034424411,0.000658898559241264,0.000679766873596653,0.00181941554185609,0.0264675092430781,0.00916037704219694,0.0910033385059491,0.175449136733066,0.00060138392105693,0.000188492803725983,0.000497248550215042,0.000401235732651953,0.00191826467725424,0.00878484817571845,0.00478559115727499,0.0510742266048017,0.172500180092079,0.0002883782038724,8.6800480966168e-05,0.000243243169579083,0.00017285220747028,0.0013592796176631,0.00410850964607422,0.00241359995197298,0.0240607734324684,0.245949505103959,0.194927244274705,0.28115138260836,0.202015547688757,0.335215617846473,0.161609321097697,0.358580210247441,0.120832147134652,0.357765297424198,0.0838776684681877,0.345357361999737,0.0633542558153938,0.335470419804887,0.0518331734501365,4115412.08640419,-262555.755376376,"other","stable",c(4115412.08640419, -262555.755376376)
"T1_Gazi",2000,"2000","Tropical Indo Pacific",1986,2016,9.99000000000001,1,-1.30339233832972,-0.155702873043462,1.01357634288023,-0.013119610335885,-0.00155824215956714,0.010084740992175,-141.666984171567,-16.558812850167,119.733062780689,633.672172687053,1078.58185861973,1773.50037032005,0.005877094818366,"T1","T1","Gazi",1986,982.3678,6.96972173,1114.1959,81.55885,"mixed",1986,2016,30,3,"none specified",NA,"unspecified","descriptive","none","fishing","satellite",0,"Tropical","East African Coral Coast","Western Indian Ocean","no",1,1195.75475,0.0794871795703383,0.0038909639104032,0.00383448420154095,0.0119462332701968,0.00720418285688057,0.0188125608141954,0.159126513144549,0.00817567714508258,0.0955604231532882,0.0831422401866332,0.00340669707993168,0.00299762777374291,0.00935061418966669,0.00568821486901152,0.0147619084372341,0.0813757220500617,0.0141899182820494,0.0881719546118364,0.0875768611339603,0.002241677481631,0.00115556041256716,0.00587756692030372,0.00313227279557849,0.0086502809193,0.0448696020003066,0.0130012297751408,0.0721252359915219,0.0915466919500096,0.0018867683367393,0.000620584270838006,0.00544227562163037,0.00257681211332056,0.0075542634228712,0.033184960250727,0.00966713353556307,0.0629481827250753,0.0936350521655281,0.00167544193465127,0.000343172585247506,0.00576727773643501,0.00248889068750528,0.00769641692968101,0.0258551226018838,0.0118289707777171,0.0684144018614887,0.1066100599431,0.000849779529083603,0.000173255291147703,0.004336910390467,0.00178246708287871,0.00531655092314788,0.0231116026117601,0.00596934602406969,0.0324175975238877,0.125248728988923,0.000359431190111761,8.02946398104285e-05,0.00356245809222728,0.00142684422561928,0.00444613374355843,0.0107335044044675,0.0028774447421568,0.0200918255732086,0.357800959766685,0.0610159347196678,0.330559097551832,0.0592164126827436,0.296559255016156,0.0541286770445414,0.308860729875446,0.0521899671127883,0.292273416268373,0.0524432010399012,0.260689152138001,0.0464305261551728,0.262435040144037,0.042310211035312,3953635.51261762,-547691.752149766,"other","stable",c(3953635.51261762, -547691.752149766)
